title,objectid,filename,format,filesize,creator,contributor,description,ingredients,preptime,cooktime,serving,serving,difficulty,subject,type,format/genre,date,date (digitized),source,relation,filedate,transcription,rights
Homemade Noodles,ns-001,ns-001.pdf,application/pdf,213 KB,Paula Smith,"Johnson, Lacey",Handwritten homemade egg noodle recipe traditionally prepared for Easter meals.,Flour; Eggs; Salt; Water,0:45,0:10,10,1 cup,Medium,Noodles; Side dishes; Family traditions; Midwest cooking,Handwritten,PDF; Side Dish,circa 1980,2026-03-30,Handwritten index card,"NS-001-P, NS-001-P2, NS-001-T",2026-04,Handwritten noodle recipe with ingredient list and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission"
Homemade Noodles- Transcription,ns-001-t,ns-001-t.pdf,application/pdf,41 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten sugar cookies recipe for accessibility.,Flour; Eggs; Salt; Water,0:45,0:10,10,1 cup,Medium,Noodles; Side dishes; Family traditions; Midwest cooking,Text,PDF; Side Dish,circa 1980,2026-03-30,Text,"NS-001, NS-001-P2, NS-001-T, NS-001-P3",2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission"
Homemade Noodles- Picture,ns-001-p,ns-001-p.pdf,image/pdf,18.8 MB,Paula Smith,"Johnson, Lacey",Photograph of drying the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P2, NS-001-P, NS-001-P3",2026-04,Rolled out noodles,"CC Lacey Johnson, 2026. Used with family permission"
Homemade Noodles- Picture,ns-001-p2,ns-001-p2.pdf,image/pdf,21.1 MB,Paula Smith,"Johnson, Lacey",Photograph of  cutting the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P, NS-001-T, NS-001-P3, NS-001-P2",2026-04,Rolled out noodles ready to be cut,"CC Lacey Johnson, 2026. Used with family permission"
Homemade Noodles- Picture,ns-001-p3,ns-001-p3.pdf,image/pdf,24 MB,Paula Smith,"Johnson, Lacey",Photograph of rolling out the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P2, NS-001-T, NS-001-P",2026-04,Noodles drying,"CC Lacey Johnson, 2026. Used with family permission"
Sugar Cookies,ns-003,ns-003.pdf,application/pdf,512 KB,Paula Smith,"Johnson, Lacey",Handwritten Sugar Cookies,"Sugar, flour, butter, baking powder, shortening, salt, eggs, vanilla",00:15 w/ 00:30 Chill time,0:09, 3 dozen,1 cookie,Medium,Desserts; Family traditions; Midwest cooking,Handwritten,PDF; Dessert,circa 1985,2026-04-12,Handwritten index card,NS-003-T; NS-003-P; NS-003-P2,2026-04,Handwritten recipe listing ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission"
Sugar Cookies- Transcription,ns-003-t,ns-003-t.pdf,application/pdf,45 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten sugar cookies recipe for accessibility.,"Sugar, flour, butter, baking powder, shortening, salt, eggs, vanilla",00:15 w/ 00:30 Chill time,0:09, 3 dozen,1 cookie,Medium,Desserts; Family traditions; Midwest cooking,Text,PDF; Dessert,circa 1985,2026-04-12,Text,NS-003; NS-003-P; NS-003-P2,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission"
Sugar Cookies- Picture,ns-003-p,ns-003-p.pdf,image/pdf,20.8 MB,Paula Smith,"Johnson, Lacey",Photograph of prepared sugar cookies using the original recipe,,,,,,,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Handwritten,PDF; Bread,circa 1980,2026-04-12,Handwritten recipe card,"NS-006-T, NS-006-P",2026-04,Handwritten recipe listing ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission"
Sugar Cookies- Picture,ns-003-p2,ns-003-p2.pdf,image/pdf,23.5 MB,Paula Smith,"Johnson, Lacey",Photograph of prepared sugar cookies using the original recipe,,,,,,,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Text,PDF; Bread,circa 1980,2026-04-12,Text,"NS-006, NS-006-P, NS-006-P2",2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission"
Easter Nests,ns-004,ns-004.pdf,application/pdf,523 KB,Paula Smith,"Johnson, Lacey","Handwritten Easter Nest recipe traditionally prepared for Easter meals, Sweet shredded wheat nests shaped with melted marshmallows and butter, topped with jelly beans for Easter treats","Margarine, butter, large marshmallows, shredded wheat biscuits, cinnamon, jelly beans",0:15,0:05,24,1 nest,Easy,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Handwritten,PDF; Dessert,circa 1990,2026-04-12,Handwritten index card,NS-004-T; NS-004-P,2026-04,Handwritten recipe listing ingredients and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission"
